,frame,cell number,voltage,resistance,current,power
0,1,cell_1,3.991,0.318,0.311,7.401800000000001
1,1,cell_2,3.992,0.317,0.311,7.401800000000001
2,1,cell_3,3.993,0.314,0.311,7.401800000000001
3,1,cell_4,3.934,0.319,0.311,7.401800000000001
4,1,cell_5,3.939,0.321,0.311,7.401800000000001
5,1,cell_6,3.951,0.322,0.311,7.401800000000001
6,1,cell_average,3.966666666666667,0.3185,0.311,7.401800000000001
7,2,cell_1,3.991,0.318,0.311,7.401800000000001
8,2,cell_2,3.992,0.317,0.311,7.401800000000001
9,2,cell_3,3.993,0.314,0.311,7.401800000000001
10,2,cell_4,3.94,0.319,0.311,7.401800000000001
11,2,cell_5,3.9330000000000003,0.321,0.311,7.401800000000001
12,2,cell_6,3.951,0.322,0.311,7.401800000000001
13,2,cell_average,3.966666666666667,0.3185,0.311,7.401800000000001
14,3,cell_1,3.991,0.318,0.311,7.401800000000001
15,3,cell_2,3.992,0.317,0.311,7.401800000000001
16,3,cell_3,3.993,0.314,0.311,7.401800000000001
17,3,cell_4,3.94,0.319,0.311,7.401800000000001
18,3,cell_5,3.9330000000000003,0.321,0.311,7.401800000000001
19,3,cell_6,3.951,0.322,0.311,7.401800000000001
20,3,cell_average,3.966666666666667,0.3185,0.311,7.401800000000001
21,4,cell_1,3.991,0.318,0.311,7.4021110000000006
22,4,cell_2,3.992,0.317,0.311,7.4021110000000006
23,4,cell_3,3.993,0.314,0.311,7.4021110000000006
24,4,cell_4,3.9410000000000003,0.319,0.311,7.4021110000000006
25,4,cell_5,3.9330000000000003,0.321,0.311,7.4021110000000006
26,4,cell_6,3.951,0.322,0.311,7.4021110000000006
27,4,cell_average,3.9668333333333337,0.3185,0.311,7.4021110000000006
28,5,cell_1,3.991,0.318,0.311,7.4021110000000006
29,5,cell_2,3.992,0.317,0.311,7.4021110000000006
30,5,cell_3,3.993,0.314,0.311,7.4021110000000006
31,5,cell_4,3.9410000000000003,0.319,0.311,7.4021110000000006
32,5,cell_5,3.9330000000000003,0.321,0.311,7.4021110000000006
33,5,cell_6,3.951,0.322,0.311,7.4021110000000006
34,5,cell_average,3.9668333333333337,0.3185,0.311,7.4021110000000006
35,6,cell_1,3.991,0.318,0.311,7.401800000000001
36,6,cell_2,3.992,0.317,0.311,7.401800000000001
37,6,cell_3,3.993,0.314,0.311,7.401800000000001
38,6,cell_4,3.9410000000000003,0.319,0.311,7.401800000000001
39,6,cell_5,3.9330000000000003,0.321,0.311,7.401800000000001
40,6,cell_6,3.95,0.322,0.311,7.401800000000001
41,6,cell_average,3.966666666666667,0.3185,0.311,7.401800000000001
42,7,cell_1,3.99,0.318,0.311,7.401178
43,7,cell_2,3.992,0.317,0.311,7.401178
44,7,cell_3,3.993,0.314,0.311,7.401178
45,7,cell_4,3.94,0.319,0.311,7.401178
46,7,cell_5,3.9330000000000003,0.321,0.311,7.401178
47,7,cell_6,3.95,0.322,0.311,7.401178
48,7,cell_average,3.966333333333333,0.3185,0.311,7.401178
49,8,cell_1,3.99,0.318,0.311,7.401178
50,8,cell_2,3.992,0.317,0.311,7.401178
51,8,cell_3,3.993,0.314,0.311,7.401178
52,8,cell_4,3.94,0.319,0.311,7.401178
53,8,cell_5,3.9330000000000003,0.321,0.311,7.401178
54,8,cell_6,3.95,0.322,0.311,7.401178
55,8,cell_average,3.966333333333333,0.3185,0.311,7.401178
56,9,cell_1,3.99,0.318,0.311,7.092044
57,9,cell_2,3.992,0.317,0.311,7.092044
58,9,cell_3,3.993,0.314,0.311,7.092044
59,9,cell_4,3.575,0.319,0.311,7.092044
60,9,cell_5,3.621,0.321,0.311,7.092044
61,9,cell_6,3.633,0.322,0.311,7.092044
62,9,cell_average,3.8006666666666664,0.3185,0.311,7.092044
63,10,cell_1,3.99,0.318,1.401,31.948404
64,10,cell_2,3.992,0.317,1.401,31.948404
65,10,cell_3,3.993,0.314,1.401,31.948404
66,10,cell_4,3.575,0.319,1.401,31.948404
67,10,cell_5,3.621,0.321,1.401,31.948404
68,10,cell_6,3.633,0.322,1.401,31.948404
69,10,cell_average,3.8006666666666664,0.3185,1.401,31.948404
70,11,cell_1,3.646,0.318,7.628,165.558112
71,11,cell_2,3.644,0.317,7.628,165.558112
72,11,cell_3,3.658,0.314,7.628,165.558112
73,11,cell_4,3.5020000000000002,0.319,7.628,165.558112
74,11,cell_5,3.621,0.321,7.628,165.558112
75,11,cell_6,3.633,0.322,7.628,165.558112
76,11,cell_average,3.6173333333333333,0.3185,7.628,165.558112
77,12,cell_1,3.646,0.318,6.382000000000001,138.51492800000003
78,12,cell_2,3.644,0.317,6.382000000000001,138.51492800000003
79,12,cell_3,3.658,0.314,6.382000000000001,138.51492800000003
80,12,cell_4,3.5020000000000002,0.319,6.382000000000001,138.51492800000003
81,12,cell_5,3.621,0.321,6.382000000000001,138.51492800000003
82,12,cell_6,3.633,0.322,6.382000000000001,138.51492800000003
83,12,cell_average,3.6173333333333333,0.3185,6.382000000000001,138.51492800000003
84,13,cell_1,3.646,0.318,8.562,185.05050599999998
85,13,cell_2,3.644,0.317,8.562,185.05050599999998
86,13,cell_3,3.658,0.314,8.562,185.05050599999998
87,13,cell_4,3.5020000000000002,0.319,8.562,185.05050599999998
88,13,cell_5,3.5740000000000003,0.321,8.562,185.05050599999998
89,13,cell_6,3.589,0.322,8.562,185.05050599999998
90,13,cell_average,3.6021666666666667,0.3185,8.562,185.05050599999998
91,14,cell_1,3.646,0.318,6.538,141.305794
92,14,cell_2,3.644,0.317,6.538,141.305794
93,14,cell_3,3.658,0.314,6.538,141.305794
94,14,cell_4,3.5020000000000002,0.319,6.538,141.305794
95,14,cell_5,3.5740000000000003,0.321,6.538,141.305794
96,14,cell_6,3.589,0.322,6.538,141.305794
97,14,cell_average,3.6021666666666667,0.3185,6.538,141.305794
98,15,cell_1,3.6270000000000002,0.318,8.251,177.825552
99,15,cell_2,3.63,0.317,8.251,177.825552
100,15,cell_3,3.6430000000000002,0.314,8.251,177.825552
101,15,cell_4,3.489,0.319,8.251,177.825552
102,15,cell_5,3.5740000000000003,0.321,8.251,177.825552
103,15,cell_6,3.589,0.322,8.251,177.825552
104,15,cell_average,3.592,0.3185,8.251,177.825552
105,16,cell_1,3.6270000000000002,0.318,6.9270000000000005,149.290704
106,16,cell_2,3.63,0.317,6.9270000000000005,149.290704
107,16,cell_3,3.6430000000000002,0.314,6.9270000000000005,149.290704
108,16,cell_4,3.489,0.319,6.9270000000000005,149.290704
109,16,cell_5,3.5740000000000003,0.321,6.9270000000000005,149.290704
110,16,cell_6,3.589,0.322,6.9270000000000005,149.290704
111,16,cell_average,3.592,0.3185,6.9270000000000005,149.290704
112,17,cell_1,3.6270000000000002,0.318,6.694,144.14190200000002
113,17,cell_2,3.63,0.317,6.694,144.14190200000002
114,17,cell_3,3.6430000000000002,0.314,6.694,144.14190200000002
115,17,cell_4,3.492,0.319,6.694,144.14190200000002
116,17,cell_5,3.571,0.321,6.694,144.14190200000002
117,17,cell_6,3.5700000000000003,0.322,6.694,144.14190200000002
118,17,cell_average,3.5888333333333335,0.3185,6.694,144.14190200000002
119,18,cell_1,3.446,0.318,6.538,138.004104
120,18,cell_2,3.519,0.317,6.538,138.004104
121,18,cell_3,3.597,0.314,6.538,138.004104
122,18,cell_4,3.4050000000000002,0.319,6.538,138.004104
123,18,cell_5,3.571,0.321,6.538,138.004104
124,18,cell_6,3.5700000000000003,0.322,6.538,138.004104
125,18,cell_average,3.5180000000000002,0.3185,6.538,138.004104
126,19,cell_1,3.446,0.318,7.394,156.072552
127,19,cell_2,3.519,0.317,7.394,156.072552
128,19,cell_3,3.597,0.314,7.394,156.072552
129,19,cell_4,3.4050000000000002,0.319,7.394,156.072552
130,19,cell_5,3.571,0.321,7.394,156.072552
131,19,cell_6,3.5700000000000003,0.322,7.394,156.072552
132,19,cell_average,3.5180000000000002,0.3185,7.394,156.072552
133,20,cell_1,3.446,0.318,7.083,149.047569
134,20,cell_2,3.519,0.317,7.083,149.047569
135,20,cell_3,3.597,0.314,7.083,149.047569
136,20,cell_4,3.469,0.319,7.083,149.047569
137,20,cell_5,3.5340000000000003,0.321,7.083,149.047569
138,20,cell_6,3.478,0.322,7.083,149.047569
139,20,cell_average,3.5071666666666665,0.3185,7.083,149.047569
140,21,cell_1,3.446,0.318,8.095,170.343085
141,21,cell_2,3.519,0.317,8.095,170.343085
142,21,cell_3,3.597,0.314,8.095,170.343085
143,21,cell_4,3.469,0.319,8.095,170.343085
144,21,cell_5,3.5340000000000003,0.321,8.095,170.343085
145,21,cell_6,3.478,0.322,8.095,170.343085
146,21,cell_average,3.5071666666666665,0.3185,8.095,170.343085
147,22,cell_1,3.446,0.318,7.1610000000000005,151.59120900000002
148,22,cell_2,3.612,0.317,7.1610000000000005,151.59120900000002
149,22,cell_3,3.626,0.314,7.1610000000000005,151.59120900000002
150,22,cell_4,3.473,0.319,7.1610000000000005,151.59120900000002
151,22,cell_5,3.5340000000000003,0.321,7.1610000000000005,151.59120900000002
152,22,cell_6,3.478,0.322,7.1610000000000005,151.59120900000002
153,22,cell_average,3.528166666666667,0.3185,7.1610000000000005,151.59120900000002
154,23,cell_1,3.446,0.318,6.538,138.40292200000002
155,23,cell_2,3.612,0.317,6.538,138.40292200000002
