,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
0,1,cell_1,3.936,0.324,0.467,11.029139,22.3,22.1
1,1,cell_2,3.936,0.325,0.467,11.029139,22.3,22.1
2,1,cell_3,3.94,0.322,0.467,11.029139,22.3,22.1
3,1,cell_4,3.935,0.322,0.467,11.029139,22.3,22.1
4,1,cell_5,3.9330000000000003,0.327,0.467,11.029139,22.3,22.1
5,1,cell_6,3.9370000000000003,0.327,0.467,11.029139,22.3,22.1
6,1,cell_average,3.936166666666667,0.3245,0.467,11.029139,22.3,22.1
7,2,cell_1,3.936,0.324,0.467,11.029139,22.3,22.1
8,2,cell_2,3.936,0.325,0.467,11.029139,22.3,22.1
9,2,cell_3,3.94,0.322,0.467,11.029139,22.3,22.1
10,2,cell_4,3.935,0.322,0.467,11.029139,22.3,22.1
11,2,cell_5,3.9330000000000003,0.327,0.467,11.029139,22.3,22.1
12,2,cell_6,3.9370000000000003,0.327,0.467,11.029139,22.3,22.1
13,2,cell_average,3.936166666666667,0.3245,0.467,11.029139,22.3,22.1
14,3,cell_1,3.936,0.324,0.467,11.029606,22.3,22.1
15,3,cell_2,3.936,0.325,0.467,11.029606,22.3,22.1
16,3,cell_3,3.94,0.322,0.467,11.029606,22.3,22.1
17,3,cell_4,3.934,0.322,0.467,11.029606,22.3,22.1
18,3,cell_5,3.9330000000000003,0.327,0.467,11.029606,22.3,22.1
19,3,cell_6,3.939,0.327,0.467,11.029606,22.3,22.1
20,3,cell_average,3.9363333333333332,0.3245,0.467,11.029606,22.3,22.1
21,4,cell_1,3.936,0.324,0.467,11.028205000000002,22.3,22.1
22,4,cell_2,3.936,0.325,0.467,11.028205000000002,22.3,22.1
23,4,cell_3,3.939,0.322,0.467,11.028205000000002,22.3,22.1
24,4,cell_4,3.935,0.322,0.467,11.028205000000002,22.3,22.1
25,4,cell_5,3.9330000000000003,0.327,0.467,11.028205000000002,22.3,22.1
26,4,cell_6,3.936,0.327,0.467,11.028205000000002,22.3,22.1
27,4,cell_average,3.9358333333333335,0.3245,0.467,11.028205000000002,22.3,22.1
28,5,cell_1,3.936,0.324,0.467,11.028672,22.3,22.1
29,5,cell_2,3.936,0.325,0.467,11.028672,22.3,22.1
30,5,cell_3,3.94,0.322,0.467,11.028672,22.3,22.1
31,5,cell_4,3.934,0.322,0.467,11.028672,22.3,22.1
32,5,cell_5,3.9330000000000003,0.327,0.467,11.028672,22.3,22.1
33,5,cell_6,3.9370000000000003,0.327,0.467,11.028672,22.3,22.1
34,5,cell_average,3.936,0.3245,0.467,11.028672,22.3,22.1
35,6,cell_1,3.89,0.324,0.467,10.866156,22.3,22.1
36,6,cell_2,3.9010000000000002,0.325,0.467,10.866156,22.3,22.1
37,6,cell_3,3.919,0.322,0.467,10.866156,22.3,22.1
38,6,cell_4,3.844,0.322,0.467,10.866156,22.3,22.1
39,6,cell_5,3.8160000000000003,0.327,0.467,10.866156,22.3,22.1
40,6,cell_6,3.898,0.327,0.467,10.866156,22.3,22.1
41,6,cell_average,3.878,0.3245,0.467,10.866156,22.3,22.1
42,7,cell_1,3.907,0.324,2.023,47.552638,22.3,22.1
43,7,cell_2,3.916,0.325,2.023,47.552638,22.3,22.1
44,7,cell_3,3.92,0.322,2.023,47.552638,22.3,22.1
45,7,cell_4,3.923,0.322,2.023,47.552638,22.3,22.1
46,7,cell_5,3.918,0.327,2.023,47.552638,22.3,22.1
47,7,cell_6,3.922,0.327,2.023,47.552638,22.3,22.1
48,7,cell_average,3.917666666666667,0.3245,2.023,47.552638,22.3,22.1
49,8,cell_1,3.92,0.324,0.544,12.804672000000002,22.3,22.1
50,8,cell_2,3.926,0.325,0.544,12.804672000000002,22.3,22.1
51,8,cell_3,3.924,0.322,0.544,12.804672000000002,22.3,22.1
52,8,cell_4,3.918,0.322,0.544,12.804672000000002,22.3,22.1
53,8,cell_5,3.922,0.327,0.544,12.804672000000002,22.3,22.1
54,8,cell_6,3.928,0.327,0.544,12.804672000000002,22.3,22.1
55,8,cell_average,3.923,0.3245,0.544,12.804672000000002,22.3,22.1
56,9,cell_1,3.924,0.324,0.544,12.775295999999999,22.3,22.1
57,9,cell_2,3.919,0.325,0.544,12.775295999999999,22.3,22.1
58,9,cell_3,3.9290000000000003,0.322,0.544,12.775295999999999,22.3,22.1
59,9,cell_4,3.896,0.322,0.544,12.775295999999999,22.3,22.1
60,9,cell_5,3.894,0.327,0.544,12.775295999999999,22.3,22.1
61,9,cell_6,3.922,0.327,0.544,12.775295999999999,22.3,22.1
62,9,cell_average,3.9139999999999997,0.3245,0.544,12.775295999999999,22.3,22.1
63,10,cell_1,3.93,0.324,0.544,12.815552,22.3,22.1
64,10,cell_2,3.9250000000000003,0.325,0.544,12.815552,22.3,22.1
65,10,cell_3,3.9250000000000003,0.322,0.544,12.815552,22.3,22.1
66,10,cell_4,3.926,0.322,0.544,12.815552,22.3,22.1
67,10,cell_5,3.922,0.327,0.544,12.815552,22.3,22.1
68,10,cell_6,3.93,0.327,0.544,12.815552,22.3,22.1
69,10,cell_average,3.9263333333333335,0.3245,0.544,12.815552,22.3,22.1
70,11,cell_1,3.834,0.324,0.544,12.62352,22.3,22.200000000000003
71,11,cell_2,3.84,0.325,0.544,12.62352,22.3,22.200000000000003
72,11,cell_3,3.878,0.322,0.544,12.62352,22.3,22.200000000000003
73,11,cell_4,3.883,0.322,0.544,12.62352,22.3,22.200000000000003
74,11,cell_5,3.864,0.327,0.544,12.62352,22.3,22.200000000000003
75,11,cell_6,3.906,0.327,0.544,12.62352,22.3,22.200000000000003
76,11,cell_average,3.8674999999999997,0.3245,0.544,12.62352,22.3,22.200000000000003
77,12,cell_1,3.907,0.324,0.856,20.06892,22.3,22.1
78,12,cell_2,3.907,0.325,0.856,20.06892,22.3,22.1
79,12,cell_3,3.912,0.322,0.856,20.06892,22.3,22.1
80,12,cell_4,3.9050000000000002,0.322,0.856,20.06892,22.3,22.1
81,12,cell_5,3.903,0.327,0.856,20.06892,22.3,22.1
82,12,cell_6,3.911,0.327,0.856,20.06892,22.3,22.1
83,12,cell_average,3.9075,0.3245,0.856,20.06892,22.3,22.1
84,13,cell_1,3.906,0.324,0.7000000000000001,16.408,22.3,22.1
85,13,cell_2,3.906,0.325,0.7000000000000001,16.408,22.3,22.1
86,13,cell_3,3.911,0.322,0.7000000000000001,16.408,22.3,22.1
87,13,cell_4,3.903,0.322,0.7000000000000001,16.408,22.3,22.1
88,13,cell_5,3.903,0.327,0.7000000000000001,16.408,22.3,22.1
89,13,cell_6,3.911,0.327,0.7000000000000001,16.408,22.3,22.1
90,13,cell_average,3.9066666666666667,0.3245,0.7000000000000001,16.408,22.3,22.1
91,14,cell_1,3.903,0.324,0.7000000000000001,16.3821,22.3,22.200000000000003
92,14,cell_2,3.9050000000000002,0.325,0.7000000000000001,16.3821,22.3,22.200000000000003
93,14,cell_3,3.9090000000000003,0.322,0.7000000000000001,16.3821,22.3,22.200000000000003
94,14,cell_4,3.9010000000000002,0.322,0.7000000000000001,16.3821,22.3,22.200000000000003
95,14,cell_5,3.879,0.327,0.7000000000000001,16.3821,22.3,22.200000000000003
96,14,cell_6,3.906,0.327,0.7000000000000001,16.3821,22.3,22.200000000000003
97,14,cell_average,3.9004999999999996,0.3245,0.7000000000000001,16.3821,22.3,22.200000000000003
98,15,cell_1,3.9010000000000002,0.324,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
99,15,cell_2,3.8890000000000002,0.325,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
100,15,cell_3,3.869,0.322,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
101,15,cell_4,3.886,0.322,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
102,15,cell_5,3.864,0.327,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
103,15,cell_6,3.888,0.327,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
104,15,cell_average,3.882833333333334,0.3245,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
105,16,cell_1,3.9010000000000002,0.324,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
106,16,cell_2,3.8890000000000002,0.325,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
107,16,cell_3,3.869,0.322,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
108,16,cell_4,3.886,0.322,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
109,16,cell_5,3.864,0.327,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
110,16,cell_6,3.888,0.327,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
111,16,cell_average,3.882833333333334,0.3245,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
112,17,cell_1,3.896,0.324,2.49,58.29090000000001,22.3,22.200000000000003
113,17,cell_2,3.9010000000000002,0.325,2.49,58.29090000000001,22.3,22.200000000000003
114,17,cell_3,3.906,0.322,2.49,58.29090000000001,22.3,22.200000000000003
115,17,cell_4,3.9,0.322,2.49,58.29090000000001,22.3,22.200000000000003
116,17,cell_5,3.9010000000000002,0.327,2.49,58.29090000000001,22.3,22.200000000000003
117,17,cell_6,3.906,0.327,2.49,58.29090000000001,22.3,22.200000000000003
118,17,cell_average,3.901666666666667,0.3245,2.49,58.29090000000001,22.3,22.200000000000003
119,18,cell_1,3.896,0.324,0.7000000000000001,16.387,22.3,22.200000000000003
